Industry,type,ISIN,Air Quality,Climate Exposure,Ecological Impact,Energy Management,Environmental Supply Chain Management,GHG Emissions Management,Sustainable Finance,Sustainable Product,Waste Management,Water Management,Access & Affordability,Community Rights & Relations,Customer Welfare,Data Security & Customer Privacy,Ethics & Compliance,Labor & Employment Practices,Marketing & Labeling,Occupational Health & Safety Management,Operational Risk Management,Product Quality Management,Social Supply Chain Management,Board Composition,Executive Compensation,Shareholder Rights,Audit,ENVIRONMENTAL SCORE,SOCIAL SCORE,GOVERNANCE SCORE,GLOBAL SCORE
Semiconductors,Environmental,US7475251036,0.0,0.0,0.0,2.3750099658,0.0,1.22483693124,0.0,0.48,0.9802847194800001,2.401702881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.984733799008,0.0,0.0,7.808379472722001
Semiconductors,Social,US7475251036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,1.51040302286,1.037585144,0.0,3.5999999999999996,0.0,1.697031765,0.0,0.0,0.0,0.0,0.0,0.0,2.443505979558,0.0,7.808379472722001
Semiconductors,Governance,US7475251036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9508913422,2.013480606,1.6156425475199998,1.3537844848,0.0,0.0,2.380139694156,7.808379472722001
Semiconductors,Environmental,US74837P4054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2068960424800004
Semiconductors,Social,US74837P4054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20852381592000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06255714477600001,0.0,2.2068960424800004
Semiconductors,Governance,US74837P4054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.90844154368,1.91401702872,0.86535758976,1.45998016352,0.0,0.0,2.1443388977040003,2.2068960424800004
Semiconductors,Environmental,US7509171069,0.0,0.0,0.0,1.9209134102999998,0.0,0.20476420159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.850271044756,0.0,0.0,3.513768008272
Semiconductors,Social,US7509171069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5700000000000001,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495,0.0,3.513768008272
Semiconductors,Governance,US7509171069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.10126258836,1.82417839056,1.1546797944,1.1482024384,0.0,0.0,2.168496963516,3.513768008272
Semiconductors,Environmental,TW0002379005,0.0,0.0,0.0,1.1713736058,0.0,1.27479434966,0.0,0.48,0.72745731828,2.9102222442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.625539007176,0.0,0.0,6.742791388532
