Industry,type,ISIN,Air Quality,Climate Exposure,Ecological Impact,Energy Management,Environmental Supply Chain Management,GHG Emissions Management,Sustainable Finance,Sustainable Product,Waste Management,Water Management,ENVIRONMENTAL SCORE,Mean Environmental,Air Quality Classification,Climate Exposure Classification,Ecological Impact Classification,Energy Management Classification,Environmental Supply Chain Management Classification,GHG Emissions Management Classification,Sustainable Finance Classification,Sustainable Product Classification,Waste Management Classification,Water Management Classification
Semiconductors,Environmental,US1572101053,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,TW0003257002,,,,0.0,,0.342395991,,0.0,0.0,7.041033745,2.15682160233,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Below Median,Above Median
Semiconductors,Environmental,TW0008070004,,,,0.0,,3.997242928,,0.0,0.0,3.332178116,1.51929501544,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Above Median,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,TW0006548001,,,,3.652616739,,1.902588964,,0.0,2.612611055,4.434205532,2.9607704626699998,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Leading,NaN,Leading,Leading,Leading
Semiconductors,Environmental,TW0001597003,,,,2.691287279,,1.175467491,,0.0,0.0,3.0,1.86019695753,2.945399878491722,NaN,NaN,NaN,Leading,NaN,Below Median,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,CNE100003S06,,,,3.807636976,,0.342395991,,1.5,3.540837765,3.0,2.71629472578,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Below Median,NaN,Above Median,Above Median,Below Median
Semiconductors,Environmental,TW0008084005,,,,0.0,,0.342395991,,0.0,0.0,0.0,0.04451147883,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Below Median,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,TW0006147002,,,,2.272807598,,1.847578645,,0.0,5.441084862,6.614099026,3.50477654587,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Leading,NaN,Leading,Above Median,Above Median
Semiconductors,Environmental,TW0008150004,,,,1.654907823,,6.70279789,,0.0,5.254493713,6.706111431,3.9576638103299997,2.945399878491722,NaN,NaN,NaN,Below Median,NaN,Above Median,NaN,Leading,Above Median,Above Median
Semiconductors,Environmental,US1727551004,,,,8.887246132,,3.917675018,,1.5,0.0,0.0,3.4154715919400003,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Above Median,Below Median,Below Median
Semiconductors,Environmental,GB0001602944,,,,5.462731838,,2.11719203,,0.0,0.0,3.0,2.8140545152999996,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Leading,NaN,Leading,Below Median,Below Median
Semiconductors,Environmental,US19247G1076,,,,5.966526031,,6.186057568,,0.0,3.0,4.620747566,4.31036956294,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Above Median,NaN,Leading,Leading,Above Median
Semiconductors,Environmental,US1925761066,,,,6.618509293,,2.316218853,,3.0,8.515057564,5.468654633,5.343913960729999,2.945399878491722,NaN,NaN,NaN,Above Median,NaN,Leading,NaN,Above Median,Above Median,Above Median
