Isin,Year,yhat
US5128071082,2030,587.9713626566121
US5128071082,2031,614.8735564171632
US5128071082,2032,651.6367887025134
US5128071082,2033,679.097831385054
US5128071082,2034,706.2775607090601
US5128071082,2035,733.179754469658
US5128071082,2036,769.9429867550289
US5128071082,2037,797.4040294375641
US5128071082,2038,824.5837587615733
US5128071082,2039,851.4859525221885
US5128071082,2040,888.2491848075149
US5128071082,2041,915.7102274900127
US5128071082,2042,942.8899568140706
US5128071082,2043,969.7921505746218
US5128071082,2044,1006.5553828599652
US5128071082,2045,1034.016425542506
US5128071082,2046,1061.1961548665593
US5128071082,2047,1088.0983486271168
US5128071082,2048,1124.861580912469
US5950171042,2023,835.9229418263888
US5950171042,2024,950.2098866147719
US5950171042,2025,984.9004723952752
US5950171042,2026,1018.2151377282406
US5950171042,2027,1050.1809174835212
US5950171042,2028,1164.467862271733
US5950171042,2029,1199.1584480520735
US5950171042,2030,1232.4731133852358
US5950171042,2031,1264.4388931401745
US5950171042,2032,1378.725837928508
US5950171042,2033,1413.4164237091952
US5950171042,2034,1446.7310890418503
US5950171042,2035,1478.6968687972278
US5950171042,2036,1592.9838135857028
US5950171042,2037,1627.6743993663679
US5950171042,2038,1660.989064699038
US5950171042,2039,1692.9548444544928
US5950171042,2040,1807.2417892426956
US5950171042,2041,1841.9323750230694
US5950171042,2042,1875.247040356151
US5950171042,2043,1907.2128201110902
US5950171042,2044,2021.499764899373
US5950171042,2045,2056.190350680115
US5950171042,2046,2089.5050160131327
US5950171042,2047,2121.470795768144
US5950171042,2048,2235.75774055651
US5951121038,2023,7888.696777237576
US5951121038,2024,8910.071057091522
US5951121038,2025,9248.98006105094
US5951121038,2026,9571.123989340867
US5951121038,2027,9876.750303085611
US5951121038,2028,10898.124582937877
US5951121038,2029,11237.033586895908
US5951121038,2030,11559.177515187377
US5951121038,2031,11864.803828929043
US5951121038,2032,12886.178108782633
US5951121038,2033,13225.087112743688
US5951121038,2034,13547.231041030842
US5951121038,2035,13852.857354776215
US5951121038,2036,14874.231634631067
US5951121038,2037,15213.140638591894
US5951121038,2038,15535.284566879236
US5951121038,2039,15840.910880625504
US5951121038,2040,16862.285160477662
US5951121038,2041,17201.194164435918
US5951121038,2042,17523.338092726808
US5951121038,2043,17828.964406468487
US5951121038,2044,18850.338686321622
US5951121038,2045,19189.247690282995
US5951121038,2046,19511.391618573398
US5951121038,2047,19817.01793231566
US5951121038,2048,20838.392212169452
US6098391054,2023,15.485475771193062
US6098391054,2024,19.35108596810018
US6098391054,2025,19.94924867171696
US6098391054,2026,20.501983823556426
US6098391054,2027,21.010416016646012
US6098391054,2028,24.876026213546023
US6098391054,2029,25.474188917156138
US6098391054,2030,26.026924069003538
US6098391054,2031,26.53535626207937
US6098391054,2032,30.400966458983966
US6098391054,2033,30.99912916260873
US6098391054,2034,31.5518643144355
US6098391054,2035,32.06029650752901
US6098391054,2036,35.92590670443989
US6098391054,2037,36.52406940806338
US6098391054,2038,37.07680455989068
US6098391054,2039,37.58523675298733
US6098391054,2040,41.45084694988705
US6098391054,2041,42.04900965349841
US6098391054,2042,42.60174480534263
US6098391054,2043,43.11017699841852
US6098391054,2044,46.97578719532091
US6098391054,2045,47.57394989894775
US6098391054,2046,48.126685050789426
US6098391054,2047,48.63511724386815
US6098391054,2048,52.50072744077418
US67066G1040,2023,66.51272643890277
US67066G1040,2024,80.6111551530845
US67066G1040,2025,80.57583077872353
US67066G1040,2026,80.1245174273514
US67066G1040,2027,79.26248653968895
US67066G1040,2028,93.36091525383364
US67066G1040,2029,93.32559087944426
US67066G1040,2030,92.87427752810257
US67066G1040,2031,92.0122466403744
US67066G1040,2032,106.11067535455022
US67066G1040,2033,106.07535098022316
US67066G1040,2034,105.62403762879215
US67066G1040,2035,104.76200674114078
US67066G1040,2036,118.86043545534241
US67066G1040,2037,118.82511108101092
US67066G1040,2038,118.3737977295845
US67066G1040,2039,117.51176684195427
US67066G1040,2040,131.61019555609624
US67066G1040,2041,131.57487118171105
US67066G1040,2042,131.12355783035827
US67066G1040,2043,130.26152694263047
US67066G1040,2044,144.35995565679667
US67066G1040,2045,144.32463128247508
US67066G1040,2046,143.87331793111284
US67066G1040,2047,143.01128704339692
US67066G1040,2048,157.1097157575759
NL0009538784,2023,588.5297726716252
NL0009538784,2024,889.3239951372457
NL0009538784,2025,766.496249952351
NL0009538784,2026,643.744114361418
NL0009538784,2027,521.1950646072507
NL0009538784,2028,821.9892870722047
NL0009538784,2029,699.1615418864326
NL0009538784,2030,576.4094062967124
NL0009538784,2031,453.8603565409356
NL0009538784,2032,754.6545790061308
NL0009538784,2033,631.8268338222164
NL0009538784,2034,509.07469822977265
NL0009538784,2035,386.5256484763596
NL0009538784,2036,687.3198709423301
NL0009538784,2037,564.4921257582757
NL0009538784,2038,441.73999016582985
NL0009538784,2039,319.1909404125383
NL0009538784,2040,619.9851628774948
NL0009538784,2041,497.1574176919463
NL0009538784,2042,374.40528210168753
NL0009538784,2043,251.85623234590867
NL0009538784,2044,552.6504548108493
NL0009538784,2045,429.82270962737095
NL0009538784,2046,307.07057403669785
NL0009538784,2047,184.52152428133297
NL0009538784,2048,485.31574674681053
US6821891057,2023,3060.360247157642
US6821891057,2024,2876.7955395856206
US6821891057,2025,3020.0687723393116
US6821891057,2026,3183.2062625832996
US6821891057,2027,3366.055171502848
US6821891057,2028,3182.4904639321157
US6821891057,2029,3325.7636966864457
US6821891057,2030,3488.9011869300366
US6821891057,2031,3671.750095851398
US6821891057,2032,3488.1853882793503
US6821891057,2033,3631.458621032173
US6821891057,2034,3794.5961112777572
US6821891057,2035,3977.4450201974564
US6821891057,2036,3793.880312624746
US6821891057,2037,3937.1535453777014
US6821891057,2038,4100.291035623066
US6821891057,2039,4283.139944541793
US6821891057,2040,4099.575236971197
US6821891057,2041,4242.848469725523
US6821891057,2042,4405.985959969163
US6821891057,2043,4588.834868890505
US6821891057,2044,4405.2701613187255
US6821891057,2045,4548.543394071695
US6821891057,2046,4711.680884315414
US6821891057,2047,4894.529793236567
US6821891057,2048,4710.96508566459
US7475251036,2023,382.23256140066417
US7475251036,2024,350.0797917489253
US7475251036,2025,377.4577299286958
US7475251036,2026,407.6893436675861
US7475251036,2027,440.7492770497968
US7475251036,2028,408.59650739825867
US7475251036,2029,435.9744455781479
US7475251036,2030,466.2060593169406
US7475251036,2031,499.265992699461
US7475251036,2032,467.11322304772636
US7475251036,2033,494.49116122734785
US7475251036,2034,524.7227749665108
US7475251036,2035,557.7827083487173
US7475251036,2036,525.6299386968694
US7475251036,2037,553.0078768765122
US7475251036,2038,583.2394906156421
US7475251036,2039,616.2994239977099
US7475251036,2040,584.1466543461902
US7475251036,2041,611.524592526071
US7475251036,2042,641.75620626489
US7475251036,2043,674.8161396474072
US7475251036,2044,642.6633699957176
US7475251036,2045,670.0413081753449
US7475251036,2046,700.2729219141894
US7475251036,2047,733.3328552966641
US7475251036,2048,701.1800856449329
US83088M1027,2023,176.12940287353226
US83088M1027,2024,163.61535009327562
US83088M1027,2025,162.97501680284563
US83088M1027,2026,163.33150175233277
US83088M1027,2027,164.67810218966477
US83088M1027,2028,152.16404940946964
US83088M1027,2029,151.5237161190622
US83088M1027,2030,151.8802010685464
US83088M1027,2031,153.22680150595244
US83088M1027,2032,140.71274872569148
US83088M1027,2033,140.07241543522503
US83088M1027,2034,140.4289003847771
US83088M1027,2035,141.77550082212966
US83088M1027,2036,129.26144804183906
US83088M1027,2037,128.62111475138036
US83088M1027,2038,128.9775997009213
US83088M1027,2039,130.32420013822235
US83088M1027,2040,117.81014735803339
US83088M1027,2041,117.16981406763043
US83088M1027,2042,117.5262990171082
US83088M1027,2043,118.87289945451326
US83088M1027,2044,106.35884667426467
US83088M1027,2045,105.71851338381344
US83088M1027,2046,106.07499833328873
US83088M1027,2047,107.42159877069021
US83088M1027,2048,94.9075459904368
US8807701029,2023,39.847554864350954
US8807701029,2024,37.086104193724836
US8807701029,2025,38.87026822361146
US8807701029,2026,40.8146867318587
US8807701029,2027,42.91767646870779
US8807701029,2028,40.15622579809393
US8807701029,2029,41.940389827989776
US8807701029,2030,43.88480833622718
US8807701029,2031,45.98779807309835
US8807701029,2032,43.226347402472754
