ISIN,Industry,ESG SCORE,ENVIRONMENTAL SCORE,SOCIAL SCORE,GOVERNANCE SCORE,ESG Score Range,Mean ESG,ESG Classification,E Classification,S Classification,G Classification
TW0004961008,Semiconductors,5.449974932129999,4.96721371503,6.5486445619,4.994986925159999,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Leading
TW0003545000,Semiconductors,4.196103980719999,3.22565122355,4.5885238159199995,5.09762115508,4-5,3.7648174326937798,Leading,Leading,Above Median,Leading
US3463751087,Semiconductors,3.1703204342039997,1.8791784214200002,1.28852381592,6.7736397362,3-4,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
TW0008131004,Semiconductors,6.054198162976,4.47141905296,9.00980415344,5.2089643192,6-7,3.7648174326937798,Above Median,Above Median,Above Median,Leading
TW0003532008,Semiconductors,6.252489962707999,4.62390750188,9.189891510079999,5.48653169644,6-7,3.7648174326937798,Above Median,Above Median,Above Median,Leading
TW0003413001,Semiconductors,5.164980058704,3.91965504645,6.569944210039999,5.42044925704,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Leading
CNE100004PM0,Semiconductors,2.5389882628800002,1.88805192948,2.36852381592,3.5773678210399993,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Below Median
KYG3790U1040,Semiconductors,2.362587754292,2.28677971139,1.08,3.74625289912,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Below Median
TW0004952007,Semiconductors,4.69783870895,5.00098062272,3.6485554886200005,5.3429327109199996,4-5,3.7648174326937798,Above Median,Above Median,Above Median,Leading
CNE1000030S9,Semiconductors,4.017906162228,4.51816356663,2.7300000000000004,4.63880245192,4-5,3.7648174326937798,Leading,Above Median,Leading,Leading
TW0008081001,Semiconductors,4.018940128324,4.5672724770999995,1.6500000000000001,5.6567704582800005,4-5,3.7648174326937798,Leading,Above Median,Below Median,Above Median
TW0003443008,Semiconductors,4.780308024384,5.99522767539,3.28970350268,4.65101967808,4-5,3.7648174326937798,Above Median,Above Median,Leading,Leading
TW0006488000,Semiconductors,4.815455152158,4.39491208563,5.68210876482,4.5095256282,4-5,3.7648174326937798,Above Median,Above Median,Above Median,Leading
KYG393871085,Semiconductors,4.898162677914001,4.090629191610001,5.41040302286,5.46263364804,4-5,3.7648174326937798,Above Median,Above Median,Above Median,Leading
TW0003188009,Semiconductors,2.844040520352,0.0,3.8085238159199997,5.67161125192,2-3,3.7648174326937798,Below Median,Below Median,Above Median,Above Median
TW0002441003,Semiconductors,4.299768340211999,2.8148358560699998,5.9317364883599994,4.64771017092,4-5,3.7648174326937798,Leading,Leading,Above Median,Leading
CNE000000YF5,Semiconductors,2.94831821146,2.30678877901,1.28852381592,5.4634851836,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
US36241U1060,Semiconductors,2.383827856152,0.0,1.6500000000000001,6.29609285384,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
JP3771800004,Semiconductors,4.702658311312,5.3501752375,4.06,4.48196072104,4-5,3.7648174326937798,Above Median,Above Median,Above Median,Below Median
CNE100002Q09,Semiconductors,1.8557714081039998,0.0,1.08,5.105904693679999,1-2,3.7648174326937798,Below Median,Below Median,Below Median,Leading
CNE100004314,Semiconductors,3.5028852777959996,2.21095766796,3.23846857068,5.489872131359999,3-4,3.7648174326937798,Leading,Below Median,Leading,Leading
CNE000001DN1,Semiconductors,2.486336891484,0.28451147883,2.7300000000000004,5.178440999839999,2-3,3.7648174326937798,Below Median,Below Median,Leading,Leading
KR7042700005,Semiconductors,2.0757334722599996,0.9445114788299999,1.08,4.57976293576,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
TW0006168008,Semiconductors,4.5042407788,4.50043585273,3.97232106204,5.04123373032,4-5,3.7648174326937798,Above Median,Above Median,Above Median,Leading
DE000HAG0005,Semiconductors,4.876509861924,5.53802516694,2.9237622070400002,5.94723711012,4-5,3.7648174326937798,Above Median,Above Median,Leading,Above Median
TW0006202005,Semiconductors,4.275449127292,5.09548592335,2.7300000000000004,4.7275158598400004,4-5,3.7648174326937798,Leading,Above Median,Leading,Leading
CNE100002V10,Semiconductors,2.697125360796,1.38272827713,1.08,6.066780166479999,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
HK0000218211,Semiconductors,3.3554305420200006,2.57579122542,1.9500000000000002,5.80038017284,3-4,3.7648174326937798,Below Median,Leading,Below Median,Above Median
TW0002486008,Semiconductors,2.4831838702919997,0.8999999999999999,2.7685241316,4.30875543604,2-3,3.7648174326937798,Below Median,Below Median,Leading,Below Median
TW0008040007,Semiconductors,2.634116671704,1.85623938423,1.28852381592,5.01687924412,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
US4532041096,Semiconductors,2.9007312403959995,2.7952787281899996,0.5700000000000001,5.3720658303999995,2-3,3.7648174326937798,Below Median,Leading,Below Median,Leading
MYQ0166OO007,Semiconductors,4.857770956964,4.6785545111,5.918756713919999,4.03574046116,4-5,3.7648174326937798,Above Median,Above Median,Above Median,Below Median
CH0011029946,Semiconductors,4.162959269118,3.23294799456,3.20401569374,6.36191787724,4-5,3.7648174326937798,Leading,Leading,Leading,Above Median
DE0006231004,Semiconductors,5.18181057554,4.67204267048,3.5608445739200008,7.48246711724,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
CNE100001377,Semiconductors,1.3643999576999999,0.0,0.0,4.547999859,1-2,3.7648174326937798,Below Median,Below Median,Below Median,Leading
US4581401001,Semiconductors,6.493700122856,6.499978394419999,4.6338290978,8.345200119160001,6-7,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
US45817G2012,Semiconductors,2.363744186964,0.0,0.20852381592000002,7.670623473959999,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
JP3152720003,Semiconductors,2.774593839612,0.61451147883,2.06852381592,6.36077367768,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
US4611471008,Semiconductors,2.6849789143079996,0.0,1.9500000000000002,6.9999297143599994,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
US44980X1090,Semiconductors,5.672769676143998,4.242841558329999,5.799999999999999,7.452110176039999,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
GB0009619924,Semiconductors,4.08104925268,3.19916337142,1.28852381592,8.04942253112,4-5,3.7648174326937798,Leading,Leading,Below Median,Above Median
TW0003014007,Semiconductors,5.652346160067999,5.1483516862,6.8022350311999995,5.17444992076,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Leading
