Isin,Year,SR001,SR002,SR003,SR004
TW0003317004,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3686200001,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3725200004,2018,1.120000005,0,0.857391536,3.673988581
JP3701200002,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
NO0003055501,2018,4.78000021,2.833335638,6.933458805,5.703240871
IL0010845571,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003034005,2018,3.49000001,2.755115271,2.858053923,5.34125185
TW0004919006,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US6294452064,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3193600008,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US6833441057,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002329000,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3200400004,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DE000LED4000,2018,4.659999847,4.725050926,2.528775215,7.193145275
US68989M2026,2018,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
TW0002481009,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US7013543001,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US71360T2006,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0008299009,2018,4.980000019,5.888815403,5.071002007,3.77522397
US7194051022,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE100005998,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US72581M3051,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US7392761034,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0006770001,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0006239007,2018,3.230000019,2.980455637,2.445380449,4.489465237
TW0006173008,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DE0007461006,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US74837P4054,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
